Src Cell,Dst Cell,Prob
Pericyte,Pericyte,119.85579297
Pericyte,Neuronal,105.12073449
Neuronal,Neuronal,93.59998699
Neuronal,Pericyte,89.22645744
vSMCs,Neuronal,73.4123544
vSMCs,Pericyte,69.26366249
Pericyte,vSMCs,34.2574157
Cardiomyocyte,Neuronal,25.54931785
Cardiomyocyte,Pericyte,23.63631374
Neuronal,vSMCs,21.39529642
Neuronal,Cardiomyocyte,19.07945365
Pericyte,Cardiomyocyte,17.87446396
Mast,Neuronal,15.47433153
Mast,Pericyte,15.25055381
Neuronal,Myeloid,12.76463038
Fibroblast,Neuronal,11.17809807
Myeloid,Neuronal,11.17702451
Fibroblast,Pericyte,11.01644923
Myeloid,Pericyte,11.01539119
Pericyte,Myeloid,10.550824819999999
Endothelial,Neuronal,6.79900094
Endothelial,Pericyte,6.700679060000001
Pericyte,Mast,5.95941976
Pericyte,Endothelial,4.4681586
Neuronal,Mast,3.97611574
Neuronal,Endothelial,2.38516362
vSMCs,Myeloid,1.6014831
Pericyte,Fibroblast,1.4899226
Cardiomyocyte,Myeloid,0.80074155
Neuronal,Fibroblast,0.7953409
